case,base_mae,hybrid_mae,mae_improve_pct,base_rmse,hybrid_rmse,rmse_improve_pct,base_iou,hybrid_iou,iou_improve_pct,base_f1,hybrid_f1,f1_improve_pct,base_boundary_f1,hybrid_boundary_f1,boundary_f1_improve_pct,mean_uncertainty,max_uncertainty,corr_abs_error_uncertainty,high_uncertainty_mae,low_uncertainty_mae,high_low_error_ratio
case_000040,0.00208189245313406,0.0013754437677562237,33.933005728242854,0.0026420748326927423,0.002437391085550189,7.747083640849958,0.5927471282130531,0.8764503227339326,47.862432564819976,0.7443078913324709,0.9341577681171654,25.506900974114693,0.08789598932826632,0.23610650939025907,168.62034456255898,0.00017761382332537323,0.002251933328807354,0.8103212766429829,0.0056074257008731365,0.0005749582778662443,9.752752342187984
case_000041,0.006332388147711754,0.00492508988827467,22.223815511776863,0.009921887889504433,0.008797261863946915,11.33479876090083,0.9981231689453125,0.9981231403067063,-2.8692457047630735e-06,0.9990607030217871,0.9990606886755711,-1.435970401953775e-06,0.0,0.03296703296703297,3.296703296703297,0.000539580243639648,0.009830273687839508,-0.20029663992159324,0.00204106536693871,0.0010736376279965043,1.9010747311888
case_000042,0.005400083493441343,0.005155122373253107,4.536246902214625,0.009062804281711578,0.009226075373589993,-1.801551559575103,0.99908447265625,0.99908447265625,0.0,0.9995420266845785,0.9995420266845785,0.0,0.0,0.0,0.0,0.00044167437590658665,0.010589786805212498,-0.014333950704333947,0.0017388176638633013,0.0013246326707303524,1.3126791305788221
case_000043,0.0026032915338873863,0.002093631075695157,19.577540646443644,0.004105076659470797,0.0041759624145925045,-1.7267827376175264,0.6843563239028394,0.902176852352623,31.82852570245386,0.8126027897910703,0.948573053275047,16.732684799043867,0.0729086826600037,0.224080047578792,207.34343208990387,0.0002834304759744555,0.005597434937953949,0.3759105967466337,0.004867810755968094,0.0005044342833571136,9.650039473768071
case_000044,0.005460461135953665,0.0039368076249957085,27.903385318973644,0.0070184688083827496,0.006294619757682085,10.313489600981207,0.9526286267910866,0.9665701906115669,1.4634836103385016,0.9757396913273967,0.9830009579378212,0.7441807148939742,0.3261980068396356,0.4287635631870077,31.442729322927782,0.00042129686335101724,0.00396037008613348,0.3561989142307143,0.00708745326846838,0.001417533028870821,4.999850528431254
case_000045,0.003439296269789338,0.003241506405174732,5.75088184033418,0.0063223023898899555,0.006470284424722195,-2.3406351943696717,0.753497471484995,0.9292291797682148,23.322136428259974,0.8594223644324689,0.9633165302629894,12.088836657064233,0.1277090742411261,0.2770208900999092,116.91558861108734,0.0003272785688750446,0.004734314512461424,0.23225878588704033,0.005343632306903601,0.001074864761903882,4.971446168229673
case_000046,0.005401364527642727,0.005183713976293802,4.029547538127594,0.009061823599040508,0.009230365976691246,-1.8599167795385414,0.99908447265625,0.99908447265625,0.0,0.9995420266845785,0.9995420266845785,0.0,0.0,0.0,0.0,0.0004862213972955942,0.008888119831681252,-0.015010689376588667,0.0021657394245266914,0.0013971405569463968,1.5501227934503803
case_000047,0.003403579583391547,0.003196375910192728,6.087816315796206,0.005577124189585447,0.006238488480448723,-11.858518268219438,0.8000042917533958,0.9109806371018113,13.871968749715702,0.8888915381130635,0.9534169205224418,7.259083886246967,0.05173176939249751,0.17483992178214025,237.97398356047088,0.0004170908941887319,0.004292430356144905,0.31529649896404566,0.003956013359129429,0.0006133416900411248,6.449933889891363
case_000048,0.0030280565842986107,0.0025219926610589027,16.712498896612516,0.004949562251567841,0.004823185969144106,2.5532820075897273,0.7064741589881255,0.8920834733722387,26.272626114160953,0.8279928005555477,0.9429641830571973,13.885553403907466,0.06798180768526733,0.18655398884207058,174.417517265431,0.00023980553669389337,0.0031119894701987505,0.5387396112275054,0.007612831890583038,0.0006560703041031957,11.60368306775535
case_000049,0.0021905654575675726,0.0014088130556046963,35.6872422717257,0.004093889147043228,0.0036924511659890413,9.80578532137641,0.35666068529436895,0.7764481914604296,117.69940547823212,0.5257920262014234,0.8741579914268218,66.2554675357409,0.12167365922879683,0.1279049239263016,5.121293085948378,0.00012479021097533405,0.002841363660991192,0.32993499084467687,0.005694421008229256,0.0005880619282834232,9.683369598790614
case_000050,0.0039556086994707584,0.003610431682318449,8.726268025411423,0.006286198273301125,0.00632982375100255,-0.6939882549793667,0.9084838644205399,0.9280869779677737,2.157783348165173,0.9520477289404559,0.9627023973223328,1.1191317470747597,0.25899690195093356,0.1297141507974631,-49.916717219251844,0.0004062856314703822,0.00508883548900485,0.39202292450092396,0.009125316515564919,0.0006911886157467961,13.202353589841897
case_000051,0.006038683466613293,0.004370369948446751,27.627106593520313,0.009015928022563457,0.007956651970744133,11.74894086519277,0.9035076631379365,0.9481507608586113,4.941086782333046,0.9493081437334506,0.9733854072368932,2.536295897426011,0.28601939259322545,0.329290787227574,15.128832434061131,0.0004197115486022085,0.004001500550657511,0.1305281551927535,0.0036605154164135456,0.002300329739227891,1.5913003046471514
case_000052,0.005578901618719101,0.00511730695143342,8.273934527486103,0.009124798700213432,0.009223483502864838,-1.0815011475167893,0.99908447265625,0.99908447265625,0.0,0.9995420266845785,0.9995420266845785,0.0,0.0,0.0,0.0,0.00041274557588621974,0.010679046623408794,0.047439769228507546,0.0019881317857652903,0.0013975531328469515,1.4225804641092195
case_000053,0.002837379928678274,0.0020640362054109573,27.255557687248483,0.004503632429987192,0.004287536256015301,4.798264008692778,0.666708047546631,0.8655186721991701,29.81974274708808,0.8000297934938457,0.9279120976890055,15.984692724589578,0.07982414785238819,0.1920545941993663,140.59711173430384,0.0002264224604004994,0.0029800855554640293,0.47556334974964815,0.004952168557792902,0.000500081165228039,9.902729581171016
case_000054,0.0036144847981631756,0.0035283868201076984,2.382026287653244,0.005663433112204075,0.0060713752172887325,-7.203088603723197,0.865608001403755,0.947880025719581,9.504536023512435,0.9279634314951891,0.9732427184466019,4.8794257849639795,0.13916901976603469,0.34214313074905095,145.84719452953544,0.00034622085513547063,0.0030719400383532047,0.4026214210523038,0.005987078417092562,0.00040683537372387946,14.716218866552625
case_000055,0.003203129395842552,0.002888754941523075,9.814603641286364,0.004966281354427338,0.0049612997099757195,0.10030934810363011,0.8967667068647751,0.9255994029293777,3.2151835972374387,0.9455740694089563,0.9613623700976236,1.669705335567843,0.35285991820305407,0.19523459061637533,-44.67079411835403,0.0002954874071292579,0.002630100818350911,0.3127724266215395,0.005346186924725771,0.0004634828364942223,11.534810983788404
case_000056,0.005547425709664822,0.005189370363950729,6.454441473461863,0.009057123214006424,0.009189083240926266,-1.4569750659433633,0.9990386962890625,0.9990386962890625,0.0,0.9995191170072285,0.9995191170072285,0.0,0.0,0.0,0.0,0.0006514508277177811,0.014251277782022953,0.12474896657717821,0.002208914142102003,0.0011061689583584666,1.9969048339442503
case_000057,0.005406707990914583,0.005196427460759878,3.889252582311822,0.009062825702130795,0.009238900616765022,-1.9428257854813442,0.99908447265625,0.99908447265625,0.0,0.9995420266845785,0.9995420266845785,0.0,0.0,0.0,0.0,0.00039136403938755393,0.011454962193965912,-0.05119394495275546,0.002140538999810815,0.001002573873847723,2.13504366462365
case_000058,0.0029922137036919594,0.0022552581503987312,24.629108288085554,0.004721333272755146,0.004657495301216841,1.3521174602667367,0.6877168481462893,0.9012890388441906,31.055250612745034,0.8149670946304126,0.9480820858169905,16.33378722449469,0.06890018086297477,0.28947970089202596,320.14360088216415,0.0002924351720139384,0.006589665077626705,0.34067930697200266,0.005136778112500906,0.0005544218583963811,9.265107472662603
